ID,parents,children
0,usual,1
1,usual,1
2,usual,1
3,usual,1
4,usual,1
5,usual,1
6,usual,1
7,usual,1
8,usual,1
9,usual,1
10,usual,1
11,usual,1
12,usual,1
13,usual,1
14,usual,1
15,usual,1
16,usual,1
17,usual,1
18,usual,1
19,usual,1
20,usual,1
21,usual,1
22,usual,1
23,usual,1
24,usual,1
25,usual,1
26,usual,1
27,usual,1
28,usual,1
29,usual,1
30,usual,1
31,usual,1
32,usual,1
33,usual,1
34,usual,1
35,usual,1
36,usual,1
37,usual,1
38,usual,1
39,usual,1
40,usual,1
41,usual,1
42,usual,1
43,usual,1
44,usual,1
45,usual,1
46,usual,1
47,usual,1
48,usual,1
49,usual,1
50,usual,1
51,usual,1
52,usual,1
53,usual,1
54,usual,2
55,usual,2
56,usual,2
57,usual,2
58,usual,2
59,usual,2
60,usual,2
61,usual,2
62,usual,2
63,usual,2
64,usual,2
65,usual,2
66,usual,2
67,usual,2
68,usual,2
69,usual,2
70,usual,2
71,usual,2
72,usual,2
73,usual,2
74,usual,2
75,usual,2
76,usual,2
77,usual,2
78,usual,2
79,usual,2
80,usual,2
81,usual,2
82,usual,2
83,usual,2
84,usual,2
85,usual,2
86,usual,2
87,usual,2
88,usual,2
89,usual,2
90,usual,2
91,usual,2
92,usual,2
93,usual,2
94,usual,2
95,usual,2
96,usual,2
97,usual,2
98,usual,2
99,usual,2
100,usual,2
101,usual,2
102,usual,2
103,usual,2
104,usual,2
105,usual,2
106,usual,2
107,usual,2
108,usual,3
109,usual,3
110,usual,3
111,usual,3
112,usual,3
113,usual,3
114,usual,3
115,usual,3
116,usual,3
117,usual,3
118,usual,3
119,usual,3
120,usual,3
121,usual,3
122,usual,3
123,usual,3
124,usual,3
125,usual,3
126,usual,3
127,usual,3
128,usual,3
129,usual,3
130,usual,3
131,usual,3
132,usual,3
133,usual,3
134,usual,3
135,usual,3
136,usual,3
137,usual,3
138,usual,3
139,usual,3
140,usual,3
141,usual,3
142,usual,3
143,usual,3
144,usual,3
145,usual,3
146,usual,3
147,usual,3
148,usual,3
149,usual,3
150,usual,3
151,usual,3
152,usual,3
153,usual,3
154,usual,3
155,usual,3
156,usual,3
157,usual,3
158,usual,3
159,usual,3
160,usual,3
161,usual,3
162,usual,more
163,usual,more
164,usual,more
165,usual,more
166,usual,more
167,usual,more
168,usual,more
169,usual,more
170,usual,more
171,usual,more
172,usual,more
173,usual,more
174,usual,more
175,usual,more
176,usual,more
177,usual,more
178,usual,more
179,usual,more
180,usual,more
181,usual,more
182,usual,more
183,usual,more
184,usual,more
185,usual,more
186,usual,more
187,usual,more
188,usual,more
189,usual,more
190,usual,more
191,usual,more
192,usual,more
193,usual,more
194,usual,more
195,usual,more
196,usual,more
197,usual,more
198,usual,more
199,usual,more
200,usual,more
201,usual,more
202,usual,more
203,usual,more
204,usual,more
205,usual,more
206,usual,more
207,usual,more
208,usual,more
209,usual,more
210,usual,more
